ID,present,WC_alt,WC_bio1,WC_bio4,WC_bio12,ER_minTempWarmest,lon,lat
1,1,1598,10,83.73999786376953,392,147,-104.974734,39.903885
2,1,2164,4.900000095367432,82.08000183105469,348,85,-105.902912,42.113755
3,1,1551,10.100000381469727,85.4000015258789,382,147,-104.866226,39.927502
4,1,1573,10.899999618530273,81.51000213623047,340,145,-104.939317,38.384479
5,1,1587,9.899999618530273,84.29000091552734,388,145,-104.944392,39.989035
6,1,1607,11.600000381469727,72.339996337890625,330,127,-112.8655,35.332375
7,1,1594,11.699999809265137,72.29000091552734,327,129,-112.969423,35.299268
8,1,1598,10,83.73999786376953,392,147,-104.920234,39.888077
9,1,1598,10,83.73999786376953,392,147,-104.933703,39.853319
10,1,1588,10,84.88999938964844,387,148,-104.820121,39.907071
11,1,1587,9.899999618530273,84.29000091552734,388,145,-104.938736,39.976861
12,1,1598,10,83.73999786376953,392,147,-104.951581,39.893326
13,1,1551,10.100000381469727,85.4000015258789,382,147,-104.895424,39.924944000000004
14,1,1598,10,83.73999786376953,392,147,-104.944865,39.873527
15,1,1634,9.899999618530273,84.19999694824219,399,148,-104.825252,39.813685
16,1,1607,10.100000381469727,84.18000030517578,397,150,-104.861904,39.809976
17,1,1587,9.899999618530273,84.29000091552734,388,145,-104.959782,39.91994
18,1,1744,10.800000190734863,77.69000244140625,391,135,-104.517961,35.902361
19,1,1702,11.399999618530273,71.76000213623047,344,132,-113.228519,35.433253
20,1,1607,10.100000381469727,84.18000030517578,397,150,-104.862294,39.813454
21,1,1551,10.100000381469727,85.4000015258789,382,147,-104.876817,39.941732
22,1,1563,10.199999809265137,85.12000274658203,387,149,-104.888202,39.864565
23,1,1551,10.100000381469727,85.4000015258789,382,147,-104.842563,39.937494
24,1,1546,10,86.01000213623047,379,148,-104.823017,39.974965
25,1,1563,10.199999809265137,85.12000274658203,387,149,-104.85445,39.843363
26,1,1623,8.199999809265137,104.08999633789062,241,131,-109.183176,40.038896
27,1,1612,11.899999618530273,72.69999694824219,323,135,-113.102691,35.484288
28,1,1621,11.899999618530273,72.9800033569336,322,137,-113.098004,35.558177
